,level_0,timestamp,device,metric,value,Consumption by hour
147,0,2023-10-04 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
148,0,2023-10-04 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
149,0,2023-10-04 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
150,0,2023-10-04 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
151,0,2023-10-05 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
152,0,2023-10-05 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
153,0,2023-10-05 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
154,0,2023-10-05 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
155,0,2023-10-05 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
156,0,2023-10-05 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
157,0,2023-10-05 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,550.0,2.0
158,0,2023-10-05 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,553.0,3.0
159,0,2023-10-05 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,556.0,3.0
160,0,2023-10-05 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,566.0,10.0
161,0,2023-10-05 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,574.0,8.0
162,0,2023-10-05 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,582.0,8.0
163,0,2023-10-05 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,590.0,8.0
164,0,2023-10-05 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,599.0,9.0
165,0,2023-10-05 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,610.0,11.0
166,0,2023-10-05 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,614.0,4.0
167,0,2023-10-05 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,620.0,6.0
168,0,2023-10-05 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,628.0,8.0
169,0,2023-10-05 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,633.0,5.0
170,0,2023-10-05 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,633.0,0.0
171,0,2023-10-05 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,634.0,1.0
172,0,2023-10-05 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,635.0,1.0
173,0,2023-10-05 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,635.0,0.0
174,0,2023-10-05 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,635.0,0.0
175,0,2023-10-06 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,636.0,1.0
176,0,2023-10-06 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,636.0,0.0
177,0,2023-10-06 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,636.0,0.0
178,0,2023-10-06 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,637.0,1.0
179,0,2023-10-06 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,637.0,0.0
180,0,2023-10-06 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,638.0,1.0
181,0,2023-10-06 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,644.0,6.0
182,0,2023-10-06 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,651.0,7.0
183,0,2023-10-06 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,652.0,1.0
184,0,2023-10-06 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,655.0,3.0
185,0,2023-10-06 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,660.0,5.0
186,0,2023-10-06 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,666.0,6.0
187,0,2023-10-06 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,676.0,10.0
188,0,2023-10-06 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,679.0,3.0
189,0,2023-10-06 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,687.0,8.0
190,0,2023-10-06 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,703.0,16.0
191,0,2023-10-06 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,716.0,13.0
192,0,2023-10-06 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,725.0,9.0
